,Country,Minimum annual leave,Paid vacation days by year (five-day workweek)[1][2],Paid public holidays,Total paid leave (five-day workweek)
133,Nepal,Every employee is entitled to paid home leave at the rate of 1 day for every 20 days that he works. Employees are also entitled to 13 paid public holidays.[5],15,13,28.0
134,Netherlands,"Workers are entitled to four times the number of days they work per week. In this respect, for a five-day working week the worker is entitled to 20 days of annual leave.[14][132] There are no legal provisions for pay on public holidays.[133]",20,8,28.0
135,New Zealand,Employees are entitled to not less than 4 weeks of paid annual holiday. Employees are also entitled to 12 paid public holidays.[5][134],20,12,32.0
136,Nicaragua,Every worker is entitled to enjoy 15 days of continuous and remunerated annual leave after 6 months of uninterrupted work with the same employer. Workers are also entitled to 9 paid public holidays.[11],11,9,20.0
137,Niger,Workers are entitled to 30 calendar days (two and a half calendar days per month of work). Seniority entitles a worker to additional days of leave: 2 additional days after 20 years with the same enterprise; 4 additional days after 25 years; 6 additional days after 30 years. Workers are also entitled to 12 paid public holidays.[7],22,12,34.0
138,Nigeria,Every worker is entitled after twelve months continuous service to a holiday with full pay of at least six working days.[7] Most employees in both public sector and private firms are entitled to 20 vacation days per year this is exclusive of the National and Religious holidays which can be as a high as 12 days in a year as both Muslims and Christians get days off for festivities regardless of which religion was celebrating .,5,,
139,North Macedonia,"Employees are entitled to 20 to 26 working days, as specified in a collective agreement in accordance with years of service and working conditions; 3 additional days for older workers. There are 12 public holidays for all citizens. More public holidays available based on which religion or ethnic group they are a part of.[14]",20,12,32.0
140,Norway,"Employers are required that employees have 25 working days of leave in connection with holidays each holiday year. Holiday leave is accrued from previous full year of employment, i.e. in the first year of employment, a worker is entitled to 25 working days of leave, but they will be unpaid. After one year of full employment, the employee shall be entitled to 25 working days of paid holidays. Employees over the age of 60 are entitled to 30 days. All days count as working days except Sundays and statutory church or public holidays.[14][135][136][137]",25,10,35.0
141,Oman,Employees are entitled to 30 days of annual leave and are also entitled to 9 paid public holidays.[138],22,9,31.0
142,Pakistan,"Factory workers, employees of commercial establishments, and road transportation workers are entitled to 14 days of holidays, inclusive of weekly rest days, provided they complete a full year of continuous employment. Those who spend more than 90 days on sickness, accident, or authorized leave, and one day or more on unauthorized leave or on an illegal strike lose this entitlement. Mine workers are entitled to one day of leave for every 17 days of work below ground and one day for every 20 days worked above ground, generally amounting to more than 14 days. Newspaper employees are not entitled to a fixed set of days by law, but rather to paid leave lasting at least 1/11th as long as they spend on duty. Factory workers are also entitled to 17 paid public holidays. On average, corporations and government offices provide at least 15 paid public holidays per year.[5][139][140]",14,15,29.0
143,Palau,,0,,
144,Palestine,"for employees with less than 5 years of employment are entitled to 14 working days of holidays, after 5 years will be increased to 21 working days.",21,12,33.0
145,Panama,Employees are entitled to enjoy 30 days of annual leave and are also entitled to 10 paid public holidays.[11],30,10,40.0
146,Papua New Guinea,"Employees are entitled to 14 consecutive days of annual leave, including non-working days. Employees are also entitled to 9 paid public holidays.[5]",10,9,19.0
147,Paraguay,Every worker shall be entitled to a paid annual leave after a year of work within same employer that shall be at least: a) 12 consecutive working days for workers with less than 5 years of continuous service; b) 18 consecutive working days after 5 years and less than 10 years of continuous service; c) 30 consecutive days after 10 years of continuous service.[11] Employees are also entitled to 12 paid public holidays.[141],10,12,22.0
148,Peru,Employees are entitled to 30 calendar days of annual leave and are also entitled to 12 paid public holidays.[11],22,12,34.0
149,Philippines,Employees are entitled to 5 days of paid service incentive leave per year.[142] Employees are also entitled to 12 paid public holidays.[5],5,12,17.0
150,Poland,"26 working days per year for the majority of the country's workforce - i.e. those with 10 years of education (secondary, tertiary) and/or employment experience. A minority of workforce who has not completed a total of 10 years of secondary/tertiary education and/or employment has 20 working days per year during the first 10 years of employment and 26 working days thereafter. There's a specific method for counting time spent in secondary and tertiary education towards the 10 year thresholds,[143] ranging from 3 years for basic vocational school, up to 8 years for bachelor's degree. Workers are also entitled to 13 paid public holidays.[144]",26/20,13,39.0
151,Portugal,"Workers are entitled to paid holidays which are mandatory and have a minimum duration of 22 working days. Workers are also entitled to 13 paid public holidays. During the first year of admission, workers accrue 2 vacation days per completed month of work, to be enjoyed after 6 months employment. On the following years all 22 days are accrued on January 1st. [145] However, when a public holiday is during the weekend, the holiday is not recovered, which means that in all years, a number of these holidays are actually not considered as paid days. Thus, on average the effective paid public holidays are 9.[14][146]",22,9,31.0
152,Puerto Rico,Employees are entitled to 15 days of paid annual leave. There are no legal provisions for pay on public holidays.[147],15,0,15.0
153,Qatar,Annual leave shall not be less than three weeks for the worker whose service is less than five years and four weeks for the worker whose service is more than five years. Workers are also entitled to 10 paid public holidays.[28],15,10,25.0
154,Romania,"Workers are entitled to a minimum of 20 days of paid leave per year;[14] 23 for the handicapped, underage, or those working in difficult or dangerous conditions. Varying numbers of extra paid days are available for life events such as marriage or death in the family, child birth (for the partner who is not on paternal/maternal leave), donating blood, or workplace relocation. Workers are also entitled to 17 paid public holidays - however public holidays which happen on Saturday or Sunday are lost for the particular year.;[148] as well as up to 90 days of unpaid leave every year for the purpose of preparation for educational degree exams. Unpaid leave can also be requested for any other reason, but the employer is not legally obligated to agree.",20,max 15,35.0
155,Russia,"Workers are entitled to 28 calendar days of annual leave (if taken in parts, one of them should not be less than 14 days), people working in prescribed Far North and Far East zones have additional 5 to 24 calendar days.[149] 14 paid public holidays. This usually translates into 42 calendar days (66 calendar days in prescribed North territories, which appears to be one of the longest in the world) of leave because most holidays coinciding with weekend days are moved to the following working day.[14][150][151][152]",20–37,14,34.0
156,Rwanda,"Employees are entitled to a paid leave at the employer's expenses, on the basis of one and a half working days per month of effective continued work. Official holidays are not considered as part of the annual paid leave. The employee benefits from one working day per year of annual paid leave for every three years of experience in the same institution. However, annual paid leave, in any case, can not exceed twenty one (21) working days.[7] Employees are also entitled to 11 paid public holidays.[153]",15,11,26.0
157,Samoa,Employees are entitled to at least 10 days’ paid annual leave to be taken on days mutually agreed between the employer and the employee.[154] Employees are also entitled to 11 paid public holidays.[155][156],10,11,21.0
158,Saint Kitts and Nevis,"Every worker shall be entitled to a paid annual leave of not less than 14 days, after one year of employment. Sundays and public holidays shall not be included in the annual leave period and so this period shall be increased by one day for each Sunday or public holiday occurring therein.[11]",12,,
159,Saint Lucia,Employees are entitled to 14 working days of paid annual leave after a minimum employment of twelve months; after five years employees are entitled to 21 working days. Employees are also entitled to 13 paid public holidays.[157][158],14,13,27.0
160,Saint Vincent and the Grenadines,,16,,
161,San Marino,"All workers are entitled to annual leave with pay, varying from 1 to more than 15 years of service from 10 to 20 days a year for wage earners and from 1 to more than 12 years of service from 10 to 12 days a year for salaried employees and intermediary staff.[14]",10,,
162,São Tomé and Príncipe,"Workers are entitled to 30 consecutive days of annual leave, not counting weekly rest periods nor initial or final holidays. Employees are also entitled to 9 paid public holidays.[7]",25,9,34.0
163,Saudi Arabia,"A worker shall be entitled to a prepaid annual leave of not less than twenty one days, to be increased to a period of not less than thirty days if the worker spends five consecutive years in the service of the employer. Workers are also entitled to 10 paid public holidays.[28]",21,9,30.0
164,Senegal,Workers are entitled to 2 days of annual leave for each month of work performed over a year.[7] Employees are also entitled to 12 paid public holidays.[159],20,12,32.0
165,Serbia,"20 working days minimum (effectively 4 weeks, law defines working week as 5 working days for purpose of paid vacation),[14] plus 9 bank holidays and up to two more days depending on religion of employee.",20,11,31.0
166,Seychelles,"A worker is entitled to 21 days of paid annual leave or, where the employment is for less than a year, to 1.75 days for each month of employment, the aggregate number of days being rounded up upon addition to the highest integer.[7]",21,13,34.0
167,Sierra Leone,,18,,
168,Singapore,"A worker is entitled to minimum 7 days, with 1 additional day per year up to a maximum of 14 days. No statutory minimum leave for seamen, domestic workers, or employees in managerial or executive positions. Employees are also entitled to 11 paid public holidays.[5][160][161]",7–14,11,18.0
169,Slovakia,"The duration of the paid annual leave is at least four weeks, provided that seven consecutive calendar days is understood as one week paid holiday. Employees are also entitled to 15 paid public holidays.[162]",20–25,15,35.0
170,Slovenia,"A worker has the right to annual leave in an individual calendar year, which may not be shorter than 4 weeks, regardless of whether he works full-time or part-time. Older people get five more days, mother with children gets three to five more days. Maximum leave is 35 days per year. Sundays and public holidays are not counted to the leave. They are free for all.[14]",20,13,33.0
171,Solomon Islands,Each worker is entitled to be given by his employer a holiday at the rate of not less than 1.25 working days for each complete calendar month of employment in an undertaking.[5],15,0,15.0
172,Somalia,Workers are entitled to 15 days of paid annual leave and are also entitled to 9 paid public holidays.[7],13,9,22.0
173,South Africa,"21 consecutive days, or 1 day for every 17 days worked, or 1 hour for every 17 hours worked,[163] Regular workers may take a further 3 days of family responsibility leave. Leave legislation does not apply to members of the National Defence Force, National Intelligence Agency, South African Secret Service or unpaid volunteers working for a charity.[164] Employees are also entitled to 12 paid public holidays.[7][165]",15,12,27.0
174,South Korea,"15 days[5][166] and for workers who have worked 3 years, one day will be added to every two years continuously worked up to a maximum of 25 days. Despite the employment law, it is strictly regulated to use a paid leave due to Korean culture, which is often perceived as hierarchical. Generally, it is common practice that workers only get a few days off for a year regardless of how many off days are left, though extra bonuses might be paid out for the work.[167][168]",15–25,15,30.0
175,South Sudan,Employees are entitled to paid annual leave for every year of service: 20 days for one to three years of continuous service; 25 days for eight to (less than) fifteen years of continuous service; and 30 days for 15 or more years of service with the employer. Employees are also entitled to 12 paid public holidays.[169],20,12,32.0
176,Spain,"Workers are entitled to 22 working days of annual leave and 14 paid public holidays.[56][170] Public holidays on weekends are not moved to other days, like in the UK, so the effective number is 11 for a 5-day workweek.",22,14,36.0
177,Sri Lanka,"In practice, most of the religious and festival holidays are available with most jobs having 20 days paid leave and 20 public holidays. However shop and office employees are entitled to a minimum of 14 days of annual leave and are also entitled to 8 paid public holidays.[5][171]",20,20,40.0
178,Sudan,Workers are entitled to annual leave as follows: 20 days if a worker has been continuously employed by his employer for a period of one to three years; 25 days if a worker has spent eight years or less than 15 years of continuous service with his employer; 30 days if a worker has spent 15 or more years of continuous service with his employer.[7],20,,
179,Suriname,,12,18,30.0
180,Swaziland,An employee is entitled to no less than two weeks of holiday for every 12 months of employment with an employer.[7],10,,
181,Sweden,"Employees are entitled to 25 work days of annual leave.[14] There are no legal provisions for pay on public holidays.[172] Although, common practice is that you get paid on public holidays as well.[citation needed] State employees are entitled to 28 vacation days a year until the year you turn 29, 31 days from the year you turn 30, and 35 days from the year you turn 40.[173]",25,9,34.0
182,Switzerland,"Employees over 20 years of age are entitled to 4 weeks, under 20 are entitled to 5 weeks.[14] Employees are also entitled to depending on the canton 7 to 15 paid public holidays.[174][175]",20,7,27.0
183,Syria,"Employees are entitled to one annual leave of twenty-four working days, with full pay, after 1 to 5 years of employment; twenty-one working days, after 5 to 10 years of employment; and thirty working days, after 10 or more years of employment or when they are over 50. Employees are also entitled to 13 paid public holidays.[28]",24,13,37.0
184,Taiwan,"3 days (half year to 1 year of employment), 7 days (1 year), 10 days (2 years), 14 days (3 to 4 years), 15 days (5 to 9 years), and one additional day per year until 30 days (10+ years).",3–30,12,15.0
185,Tanzania,"An employer is required to grant an employee at least 28 consecutive days of leave in respect of each 12-month period of employment, and such leave is inclusive of any public holiday that may fall within the period of leave.[7] Employees are also entitled to 17 paid public holidays.[176]",20,17,37.0
186,Thailand,"Annual leave shall be for a period of not less than 6 working days following the employee's first year of employment. In subsequent years, the employer may fix the annual vacation at more than 6 working days for an employee. Employees are also entitled to 13 paid public holidays.[5][177][178]",6,13,19.0
187,East Timor,,12,,
188,Togo,Workers are entitled to two and a half days per month.[7] There are no legal provisions for pay on public holidays.[179],22,0,22.0
189,Tonga,"Employees are entitled to a minimum of 20 paid days off per year, with part time employees earning a pro-rated portion. [180]",20,,20.0
190,Trinidad and Tobago,All workers in general are entitled to 14 consecutive days holiday with pay at the expiration of each complete year.[11] Employees are also entitled to 14 paid public holidays.[181][182],10,14,24.0
191,Tunisia,"All workers who perform at least 1 month of work during the reference year are entitled to enjoy 1 day of leave per month with a total duration not exceeding 15 days, of which 12 will be working days. Workers are entitled to additional leave days as follows; 1 day yearly for every 5 years of work with the same employer to a maximum of 18 days.[7] Employees are also entitled to 6 paid public holidays.[183]",10,6,16.0
192,Turkey,"14 work days (Saturdays are counted as workdays) for 1–5 years, 20 work days for 6 to 15 years, and 26 days for over 15 years seniority. There are a total of 14.5 paid public holidays, but if these holidays fall on Sundays or other off-days of a worker, they are not carried over to the next workday.[184]",12,14.5,26.0
193,Uganda,"An employee, once in every calendar year, is entitled to a holiday with full pay at the rate of seven days in respect of each period of a continuous four months' service.[7] Employees are also entitled to 13 paid public holidays.[185][186]",15,13,28.0
194,Ukraine,"Employees are entitled to 24 calendar days of paid annual leave (31 for persons under 18 years old),[187][188] 13 days of National Holidays[189] (moved to a next working day if overlap with Saturdays or Sundays[190]).",24,13,37.0
195,United Arab Emirates,The worker shall be entitled during every year of service an annual leave of no less than the following periods: Two days for each month should the period of service of the worker be of six months at least and a year at most; Thirty days for each year should the period of service of the worker exceed one year. Employees are also entitled to 10 paid public holidays.[28][191],30,10,40.0
196,United Kingdom,"Employees are entitled to 28 total working days (5.6 working weeks, or 4 full weeks) of annual leave. These often include public/bank holidays which otherwise would be unpaid. Many employers will offer more than 20 days of paid annual leave in addition to the recognised bank holidays. Paid time off can increase with years of service. For example, an employee might accrue one extra day for every 5 years of service up to a maximum of 30 days paid leave, exclusive of bank holidays. Some employers will allow staff to purchase or sell holiday, usually a maximum of 5 days. Part-time workers are entitled to the same amount of leave but this is calculated on a pro-rata basis.[192][193]",20,8–10,28.0
197,United States,"There is no federal or state statutory minimum paid vacation or paid public holidays. Paid leave is at the discretion of the employers to their employees.[194][195] According to the US Bureau of Labor Statistics, 77% of private employers offer paid vacation to their employees; full-time employees earn on average 10 vacation days after one year of service.[196] Similarly, 77% of private employers give their employees paid time off during public holidays, on average 8 holidays per year.[196][197] Some employers offer no vacation at all.[198] The average number of paid vacation days offered by private employers is 10 days after 1 year of service, 14 days after 5 years, 17 days after 10 years, and 20 days after 20 years.[196][199]",0,0,0.0
198,Uruguay,"All workers, in the private sector and civil servants, are entitled to at least 20 days of paid annual leave. Workers who have worked in the same company, are entitled to an additional day of leave for every four years of seniority. Employees are also entitled to 5 paid public holidays.[11][200]",20,5,25.0
199,Uzbekistan,,15,,
200,Vanuatu,Every employer shall grant to an employee who has been in continuous employment with the same employer for: (a) a period of 1 to 6 years - annual leave on full pay at the rate of 1.25 working days per month for each year of employment; or (b) a period of 7 to 19 years - annual leave on full pay at the rate of 1.75 working days per month for each year of employment.[5] There are no legal provisions for pay on public holidays.[201],15,0,15.0
201,Venezuela,Workers are entitled to enjoy 15 days of paid annual leave in the first year plus one day for each year of service with the same employer up to a maximum of 15 extra days.[11],15,14,29.0
202,Vietnam,Employees working in normal working conditions are entitled to 12 working days after every 12 months of employment. This entitlement increases by one additional day of leave for every five years of employment in an enterprise or with an employer. Employees are also entitled to 11 paid public holidays.[5][202],12,11,23.0
203,Yemen,"Workers shall be entitled to leave of not less than 30 days with full pay for each year of effective service, to be calculated on the basis of at least two-and-a- half days for each month.[28] Employees are also entitled to 15 paid public holidays.[203]",22,15,37.0
204,Zambia,Employees are entitled to two days of paid holidays in respect of each period of one month's service. Employees are also entitled to 11 paid public holidays.[7][204],20,11,31.0
205,Zimbabwe,"An employee is entitled to one twelfth of the employee's qualifying service in each year of employment, subject to a maximum accrual of ninety days of paid vacation leave. Employees are also entitled to 11 paid public holidays.[7][205]",22,11,33.0
